ID,TITLE,CATEGORY
128,doubts cast over manned airport weather station,w
129,scientists eye better weather predictions,w
130,fed govt defends closing weather bureau,w
131,hot weather boosts tamworth water use,w
132,weather bureau highlights heatwave severity,w
133,wild weather creates havoc in se qld,w
134,cooler weather spells relief for grape growers,w
135,weather bureau ups cyclone alert for wa,w
136,weather not protesters hampers historic cattle,w
137,wild weather expected to lash south east qld,w
138,wild weather to hit nsw north coast,w
139,hope for weather gods to smile on begonia festival,w
140,weather right for hazard reduction burn off,w
141,warm weather fails to disrupt wa power supplies,w
142,brumbies weather storm to go top,w
143,weather warning issued for se qld coast,w
144,weather bureau warns of williams river flooding,w
145,wetlands insects weather drought,w
146,coast beaches weather big waves,w
147,fairweather heads australias olympic archery hopes,w
148,weather records broken in perth,w
149,summer weather trends worry experts,w
150,wet weather has ambulance in demand,w
151,mozzie sprayers hoping for fine weather,w
152,pioneer weather opposition to win lightning,w
153,freak weather makes bushfires unpredictable,w
154,weather heats up in south west vic,w
155,weather aids firefighters battling gippsland blaze,w
156,cairns unfazed by weather warning,w
157,fairweather reaches fifth olympics,w
158,warmer weather may slow fish kill,w
159,cold weather doesnt deter anzac day crowds,w
160,targa tasmania driver hopes for wet weather,w
161,weather heats up in melbourne,w
162,ellis retains lead at weather hit new orleans,w
163,more cold weather in store,w
164,spirit of tasmania 3 delayed by rough weather,w
165,evidence points to return of el nino weather,w
166,maori brave foul weather to protest government,w
167,freak weather lashes southern nsw,w
168,wild weather causes minor damage to region,w
169,dengue fever still a threat despite cooler weather,w
170,cool weather delays wine crop,w
171,weather to play role in missing man search,w
172,markets weather high oil price,w
173,cold weather comes to gippsland,w
174,favourable weather sees record wine production,w
175,few call outs during wild weather,w
176,warmer weather not attracting more tourists,w
177,wet weather warning for drivers,w
178,bad weather hampers whale rescue efforts,w
179,cold weather hits nsw north coast,w
180,bega weather reaches extremes,w
181,wild weather cuts power in tas,w
182,bad weather to continue across tasmania,w
183,burrengong meats weathers market woes,w
184,aust warned of more extreme weather,w
185,forecasters tip warmer weather ahead,w
186,weather station to improve bushfire monitoring,w
187,weather warning issued for nsw,w
188,wild weather causes chaos across nsw,w
189,cold weather brings mixed blessings for nsw farmers,w
190,illawarra cleans up after wild weather,w
191,dpi dismisses cold weather lambing worries,w
192,dry weather needed to finish green tea factory,w
193,morning glory research to lead to better weather,w
194,weather warming seen as threat to living murray,w
195,poor weather affects missing sailor search,w
196,amazon fires behind weather pattern changes,w
197,roosters stay top by weathering storm,w
198,bad weather delays nasas mercury messenger,w
199,govt opens experimental weather bureau shopfront,w
200,sa cleans up after wild weather,w
201,cold weather fails to deter volunteer sleep out,w
202,weather hampers rescuers on kyrgyz mountain,w
203,firefighters brace for windy weather,w
204,rescue sparks police weather warning,w
205,alpine weather warning for drivers,w
206,fairweather a shock first round loser,w
207,police warn sailors over wild weather,w
208,dry weather brings forward danger period around act,w
209,wet weather can favour lions lethal,w
210,low temperatures normal spring weather,w
211,hang glider pilots hurt in rough weather,w
212,hope for weather to aid bushfire fight,w
213,warm weather puts crops in doubt,w
214,cosmic stormy weather to clear scientists,w
215,warning for bushwalkers ahead of hot weather,w
216,weather helps firefighting efforts,w
217,cold weather forces oktoberfest switch to wine,w
218,locust hatchings on the rise as weather heats up,w
219,wild weather lashes nsw central coast,w
220,weather outlook not good for firefighters,w
221,warmer weather sparks lizard warning,w
222,cooler weather helps qld firefighters,w
223,cooler weather brings qld fire fighters relief,w
224,hot weather puts crop growth in doubt,w
225,hot weather sparks total fire ban,w
226,weather woes affecting mallee crops,w
227,hot weather not to blame for sydney blackouts,w
228,warm weather may have triggered early coral,w
229,better weather aids east coast firefighting efforts,w
230,weather aids tas firefighters,w
231,good weather boosts floriade visitor numbers,w
232,severe weather warning issued for hunter,w
233,hunter valley prepares for wild weather,w
234,illawarra still experiencing wet weather,w
235,mining expo weathers storms heat,w
236,melbourne motorists warned of windy weather,w
237,wild weather hits south east,w
238,weather the key for cup success,w
239,bad weather forecast for cray seasons start,w
240,gay community braves weather to march,w
241,forecasts tip end to qlds stormy weather,w
242,cooler weather helps control locust numbers,w
243,weather does no favours for sa farmers,w
244,pilots get advice to weather storms,w
245,us dollar stocks weather pressure,w
246,boating mishap sparks weather warning,w
247,hot weather sparks fire season warning,w
248,central vic weather predicted to stabilise,w
249,global economy to weather headwinds oecd,w
250,wild weather moves up nsw coast,w
251,hot weather may worsen algae outbreak,w
252,severe weather warning for western nsw,w
253,weather bureau warns of thunderstorms,w
254,wet weather puts gabba match in doubt,w
255,brisbane weather rains on chappell hadlee parade,w
256,hot weather set to drain power supply,w
257,long spell of stormy weather,w
258,slower boats may bear brunt of bad weather,w
259,rough weather cuts into bluewater classic,w
260,weather delays locust influx,w
261,weather forces 8 out of melbourne to hobart,w
262,bad weather hampers sri lanka aid effort,w
263,fire bans in place as sa awaits hot weather,w
264,plans afoot for all weather alice airport runways,w
265,weather extremes set to continue,w
266,hot weather in 2004 a sign of global warming,w
267,weather bureau scales down nt flood warnings,w
268,bad weather slows tsunami aid efforts,w
269,farmers face mixed weather fortunes,w
270,wet weather set to leave wide bay,w
271,weather bureau keeps eye on cyclone kerry,w
272,weather warning issued for sri lanka,w
273,weather change helps firefighting efforts in vic,w
274,cooler weather helped boost hunter tourism says,w
275,hot weather bad news for nsw fire service,w
276,weather hampers firefighting efforts in perth,w
277,crews brace as bad bushfire weather looms,w
278,strauss thorpe and weather thwart south africa,w
279,weather tipped to cut wine grape harvest,w
280,weather conditions boost tas wine grape production,w
281,bad weather dampens beachgoers australia day,w
282,bad weather hampers firefighters,w
283,weather hampers mozzie control efforts,w
284,weather woes no barrier to show enjoyment,w
285,animals clue weather watchers into trends,w
286,melbournes wet weather eases,w
287,wild weather causes landslip flooding,w
288,wild weather continues in tas,w
289,cold weather takes toll on stock,w
290,weather causes havoc for nsw farmers,w
291,weather hampers replica whaling boats departure,w
292,catchment authority to focus on wild weather,w
293,cold weather claims nine more lives in afghanistan,w
294,weather device to assist pilots,w
295,new radar to improve weather forecasting,w
296,eye being kept on possible el nino weather pattern,w
297,cool weather sees water restrictions ease,w
298,portable weather stations to aid fuel reduction,w
299,weather bureau website wins popularity award,w
300,dark cloud hangs over weather observation station,w
301,hot weather helps cut locust numbers,w
302,hunter valley homes lose power during wild weather,w
303,poor weather frustrates pakistan,w
304,weather intensifies as tiwi is brace for ingrid,w
305,rough weather hits nsw coast,w
306,wild weather warning issued for sydney,w
307,bureau eases wollongong severe weather warning,w
308,bad weather hits tpc,w
309,changing weather conditions worry fire authorities,w
310,dry weather worries drought committee,w
311,hot weather prompts fire ban,w
312,severe weather warning issued for vic,w
313,weather conditions may aid battle against fires,w
314,bad weather takes toll on wa sheep,w
315,dry weather may spark rethink on eased fire bans,w
316,weather forces kimberley burn off,w
317,new weather radar to improve forecasts,w
318,bad weather causes spate of road accidents,w
319,prescribed burns and weather causes smoke blanket,w
320,fine weather sparks concern for winter crop,w
321,warm dry weather raises fears of el nino,w
322,april weather record for wollongong,w
323,cooler weather reduces bushfire risk,w
324,dry hot weather in wimmera mallee,w
325,weather sparks eyre peninsula fire ban,w
326,weather hampers wrecked trawler clean up,w
327,bad weather hampers crash recovery effort,w
328,emerald weather radar to be considered in long,w
329,weather stays good for national park burn off,w
330,budget offers ceduna weather station funds,w
331,esperance weather bureau gets funds boost,w
332,funds boost for kimberley weather stations,w
333,crane crushes abc building as wild weather hits,w
334,weather sparks weekend fires warning,w
335,stormy debate forces bbc weather map change,w
336,warriors prevail in atrocious auckland weather,w
337,dry weather likely to continue,w
338,fears for livestock industry if weather pattern,w
339,weather not the only factor in farms success abare,w
340,bad weather ends tom quilty early,w
341,more wet weather on victorias horizon,w
342,abare says farm success not all down to weather,w
343,weather change prompts warning to drivers,w
344,weather takes toll on rice harvest,w
345,weather bureau revises el nino but not drought,w
346,wild weather hits sa,w
347,bureau issues cold weather warning,w
348,tas weather presentation,w
349,man killed as wild weather hits nsw coast,w
350,weather continues to restrict plane search,w
351,weather hinders search for missing plane,w
352,wild weather in sydney,w
353,communities clean up after wild weather,w
354,rare weather leads to massive clean up,w
355,nasa watches weather as discovery nears lift off,w
356,weather outlook not so good,w
357,webcke says broncos will weather the storm,w
358,weather bureau introduces comfort measures,w
359,wild weather continues in far north qld,w
360,far north survives wild weather,w
361,yass farmers hope for warmer weather,w
362,grain crops soak up favourable weather,w
363,qld farmers face weather extremes,w
364,bad weather delays shuttle landing,w
365,weather delays shuttles return by 24 hours,w
366,weather disasters kill 910 in china,w
367,extreme weather hits china,w
368,memorable vp commemorations despite bad weather,w
369,severe weather warning continues,w
370,search for man suspended amid poor weather,w
371,wild weather wallops wa wheatbelt,w
372,weather stalls discoverys flight home,w
373,us hurricane sparks australian weather warning,w
374,victorias wild weather eases,w
375,weather expert warns of increased cyclonic activity,w
376,mallee farmers hope for rain mild weather,w
377,warmer august weather for canberra,w
378,warm weather aids flight of the bumble bees,w
379,wa braces for more wild weather,w
380,weather halts australias charge,w
381,openers defy england but not the weather,w
382,weather aids englands bid,w
383,weather warning for wa,w
384,bad weather doesnt deter kalgoorlie cup punters,w
385,coach praises hawks win in wild weather,w
386,hope for weather change to ease fire danger,w
387,hot weather prompts bushfire season warning,w
388,western tasmania defies weather trends,w
389,western power denies problems with wet weather gear,w
390,bad weather stops manangatang cup,w
391,firefighters hope weather aids efforts to tackle,w
392,grain harvest on as farmers look to fine weather,w
393,weather critical in search for missing angler,w
394,bad weather hits quake stricken pakistan,w
395,bad weather halts quake relief effort,w
396,bad weather limits pakistan relief operations,w
397,weather hinders search for immigration boat,w
398,weather forecast keeps east coast roads closed,w
399,oil gold price jumps as weather worries hit markets,w
400,lifesavers urge caution as beachgoing weather,w
401,oil prices slide on forecasts of warming us weather,w
402,favourable weather eases diesel spill threat,w
403,warm weather offering thieves opportunities police,w
404,weather contributes to platypus losses,w
405,weather to dictate north west fire risk,w
406,mixed weather for busselton ironman,w
407,weather helps lift winter crops,w
408,weather predicted to produce top stone fruit,w
409,weather bureau predicts average south east summer,w
410,wild weather brings good news to qld farmers,w
411,weatherill hints at housing announcements,w
412,locusts thrive in unstable weather conditions,w
413,bad weather stops divers search for missing angler,w
414,poor weather keeps lobsters off menu,w
415,weather blamed for less stonefruit production,w
416,fairweather waits for news on comm games selection,w
417,weather delays mainland transfer for australian,w
418,extreme weather conditions bring total fire bans,w
419,fire crews prepare for extreme weather in grampians,w
420,poor weather hampers greenpeace ant whaling efforts,w
421,rough weather hampers greenpeace anti whaling,w
422,firefighters brace for difficult weather,w
423,weather puts paid to three premiership matches,w
424,no fire ban in act despite weather,w
425,bad weather hinders east java flood rescue,w
426,farmers want weather change after flash flooding,w
427,hot weather tests water electricity systems,w
428,warm weather threatening reef,w
429,weather hits cherry growers,w
430,milder weather reduces riverland apricot crop,w
431,warmer weather caused lake modewarre kills report,w
432,weather may help crews bring nsw fire under control,w
433,hot weather blamed for cattle price drop,w
434,wet weather hampers search for bushwalkers,w
435,cane farmers welcome wet weather,w
436,firefighters monitor expected weather change,w
437,weather thwarts rescue of antarctic crew,w
438,warm weather in japan brings avalanches,w
439,weather turns back storm chasers plane,w
440,weather slows search for australian hiker in,w
441,nt weather study a long term project,w
442,weatherill upbeat on cold store issues,w
443,scientists launch nt weather study,w
444,firefighters ready as weather heats up,w
445,weather hampers vic firefighting efforts,w
446,weather tipped for return to normalcy,w
447,weather predicted to intensify bushfires,w
448,hot weather will slow adelaide pitch gilchrist,w
449,weather fans vic fires,w
450,fire crews take advantage of cooler weather,w
451,weather set to challenge pelican waters competitors,w
452,freezing weather wreaks havoc across europe,w
453,bad weather hampers search for missing png,w
454,death toll rises from freezing weather,w
455,fuel price weather blamed for hike in fresh food,w
456,new weather records set in nt,w
457,bad weather delays return of customs boat,w
458,poor weather dashes record grain hopes,w
459,mild weather helps battle against pulletop blaze,w
460,firefighters ready for weather change,w
461,weather to impact on grape vintage,w
462,weather delays wa wine grape harvest,w
463,national park weather station to help firefighting,w
464,weather website attracts record hits,w
465,hunter gets new weather warning system,w
466,study predicts more extreme fire weather for se,w
467,summer weather records tumble in western qld,w
468,weather warning for qld coastal areas,w
469,wild weather brings good and bad,w
470,coastal services returning more bad weather,w
471,stormy weather forces beach closures,w
472,wild weather hinders plane train services,w
473,wild weather restricts trawler fishers income,w
474,weather again puts surfing on hold,w
475,weather hinders emergency efforts in se qld,w
476,wild weather lashes nsw far north coast,w
477,wild weather continues to batter qld coast,w
478,bad weather hampers clean up day,w
479,ses takes break after wild weather,w
480,wet weather focused mostly on coast,w
481,recent weather pattern unusual,w
482,sawford says weatherill fence sitting on,w
483,some shark nets missing after rough weather,w
484,weather dries up locust plague concerns,w
485,weather bureau makes grim prediction on fire danger,w
486,bad weather makes kumble wait for 500th test wicket,w
487,warm weather means early grape ripening,w
488,weather hampers illegal fishing investigation,w
489,national weather,w
490,prescribed burning start depends on weather,w
491,abc weather,w
492,cyclone larry heads inland weather bureau,w
493,cyclone wati prompts weather warning for northern,w
494,weather conditions ease in western qld,w
495,weather worry for mooloolaba triathlon,w
496,weather worry for triathlon,w
497,weather bureau monitors tropical low,w
498,windies in control as weather ends day two,w
499,dry weather extends bushfire risk,w
500,weather figures highlight tough farm conditions,w
501,national weather,w
502,casa highlights weather safety issue,w
503,weather sparks hunter fire ban,w
504,road revamp depends on weather,w
505,campbells lead cut as weather has its say,w
506,vineyard owners not concerned with rainy weather,w
507,weather blamed for hike in fish prices,w
508,extreme weather events affecting rural commodities,w
509,weather hampers search for missing fisherman,w
510,cooler weather aids fuel reduction burns,w
511,national weather,w
512,barcelona prepare to weather milan storm,w
513,ozwide weather,w
514,weather keeps elective surgery on hold,w
515,weather forecasts not always trusted bushfire,w
516,scientist predicts more severe weather for,w
517,new weather forecasts for regional centres,w
518,more extreme weather predicted for victoria,w
519,alice to endure more cold weather,w
520,dry weather allows late fuel reduction burns,w
521,weather delays mallee burn off,w
522,cold weather freezes water pipes,w
523,weather takes its toll on farmers,w
524,cold weather causes house floods,w
525,weather conditions blamed for fatal crash,w
526,perth weather breaks another record,w
527,perth weather breaks record,w
528,ses warns bushwalkers of cold weather dangers,w
529,poor weather forces canoe race changes,w
530,weather improvement puts discovery on track for,w
531,bad weather forces discovery delay,w
532,weather delays space shuttle launch,w
533,weather set to clear for cup final,w
534,weather hinders search for missing policeman,w
535,rescuers battle rough weather to free whale,w
536,weather bureau says overnight temperature lowest,w
537,southern wa warned of severe weather,w
538,weather stays fine for festivals last day,w
539,weather warning issued for perth regions,w
540,poor weather ends balloon flight record bid,w
541,one in 12 year event behind weather pattern says,w
542,no wet weather worries for gregan,w
543,julia creek weather station finally fixed,w
544,delay to charleville weather radar upgrade,w
545,dry weather drastically affects crops in southern,w
546,national weather,w
547,man killed in wild sydney weather,w
548,weather bureau predicts el nino type pattern,w
549,crucial weather change helped with fighting of,w
550,dry weather impacts on store sheep sales,w
551,storm cloud study set to improve weather,w
552,nt stormy weather yielding results,w
553,wild weather produces record wave,w
554,bad weather hampers nepal helicopter search,w
555,blustery weather knocks out canberras power,w
556,wild weather keeps ses busy across victoria,w
557,dry weather prompts ash wednesday comparisons,w
558,hopes cooler weather will help firefighters,w
559,weather hampers nepalese rescue,w
560,weather hampers wwf rescue,w
561,weather hits tourism at flinders ranges,w
562,warmer weather sign of climate change,w
563,cooler weather helps vic tas firefighters,w
564,crews hope weather forecast will quell fire,w
565,favourable weather aids vic crews making fire,w
566,crews brace for more hot weather as fires subside,w
567,thuringowa to get own weather readings,w
568,bad weather blamed for low valencia crop,w
569,dry weather prompts snake season warning,w
570,more hot dry weather predicted,w
571,gabba pitch at weathers mercy,w
572,wild weather expected for southern qld,w
573,weather surprise for east aust states,w
574,wide bay experiences weather extremes,w
575,cool weather aids vic firefighters,w
576,firefighters hope for favourable weather,w
577,firefighters likely to face difficult weather,w
578,central west firefighters face weather threat,w
579,favourable weather aids fire crews in central nsw,w
580,dry weather forces cattle producers to off load,w
581,warm weather prompts meningitis warning,w
582,firefighters hope for mild weather change,w
583,kosmina lashes fair weather fans,w
584,kossie lashes fair weather fans,w
585,milder weather aids tas firefighters,w
586,mild vic weather brings relief to firefighters,w
587,weather heats up across central victoria,w
588,weather caused fire spotting plane to stall,w
589,cooler weather eases tumut bushfire threat,w
590,milder weather eases fire strength,w
591,vic crews take advantage of milder weather,w
592,vic firefighters prepare for hot weather,w
593,milder weather aids vic firefighters,w
594,fire crews brace for worsening weather,w
595,weather bureau allays flood fears,w
596,vic fire crews hoping for cooler weather,w
597,harsh weather hits sydney to hobart fleet,w
598,weather strikes sydney to hobart fleet,w
599,weather takes toll in sydney to hobart,w
600,fire crews take advantage of mild weather,w
601,only weather can save england from whitewash,w
602,tasmanians witness year of weird weather,w
603,bad weather hampers indon ferry rescue,w
604,bombs bad weather mar new year revelry,w
605,bad weather hampers search for missing plane,w
606,weather bureau says 2006 9th warmest year on record,w
607,wet weather aids firefighting effort,w
608,weather bureau warns of perfect storm in wa,w
609,2006 a year of extremes for qld weather,w
610,crews hope cool weather change will aid bushfire,w
611,fire crews brace for worsening weather conditions,w
612,weather system brings rain to sa,w
613,global shift in us weather patterns,w
614,experts fear warm weather may boost locust numbers,w
615,weather bureau says el nino weakening,w
616,balmy weather creates slippery setting for ice,w
617,hot weather a headache for act fire crews,w
618,weather bureau gets funding boost,w
619,crews brace for worsening weather,w
620,fesa warns of more hot weather,w
621,weather keeps vic residents on high alert,w
622,all weather airstrip opens in western qld,w
623,firefighters brace for extreme weekend weather,w
624,wide bay mango harvest suffers amid bad weather,w
625,extreme weather causes flooding in sa,w
626,extreme weather continues across vic,w
627,thredbo fire crews brace for more bad weather,w
628,wild sa weather postpones nude festival,w
629,wild weather to impact building industry,w
630,artists find inspiration from wild weather,w
631,firefighters hoping for mild weather in tas,w
632,cyclone reports premature weather bureau,w
633,weather bureau issues cyclone watch for nt,w
634,extreme weather expected to fan bushfires,w
635,weather bureau records hot january,w
636,hot weather pushes act water consumption up,w
637,severe weather warning for mid north coast,w
638,stranded whaler faces worsening weather,w
639,bendigo faces hotter humid weather,w
640,cooler weather to aid firefighters,w
641,mayweather mocks pussy de la hoya,w
642,highlanders weather the stormers,w
643,weather bureau closely watching low in coral sea,w
644,wild weather expected weather bureau warns,w
645,severe weather warning issued to nt,w
646,weather warning sparks sheep worries,w
647,weather blamed for decline in us cattle numbers,w
648,territory footy boss rejects weather concerns,w
649,heat melts weather bureau records,w
650,dry weather takes toll on water supply,w
651,weather conditions likely to hamper whale rescue,w
652,weather proves hazardous to whale rescue effort,w
653,csiro developing 6 month weather forecasting,w
654,scientists hopeful of improved weather forecasting,w
655,weather agency says data shows warmest winter on,w
656,harsh weather boosts red wine outlook,w
657,petitions push for tweed heads weather recognition,w
658,weather monitoring network goes online,w
659,foul weather forces postponement of 25km race,w
660,weather bureau predicts better falls in south east,w
661,central qld farmers receive sms weather reports,w
662,good weather puts surfers visitor levels up,w
663,tas receives typical autumn weather,w
664,weather extremes raise fresh ginger prices,w
665,weather report,w
666,farmers count weather costs,w
667,stable weather allows states biggest burn off this,w
668,farmers fear tough winter as dry weather continues,w
669,weather bureau monitors gold coast as storm,w
670,bad weather disrupts search for missing seaman,w
671,weather bureau welcomes rainfall in catchments,w
672,weights no worry for mayweather as de la hoya,w
673,bad weather hampers search for kenyan plane,w
674,mayweather retires after beating de la hoya,w
675,mayweather takes split decision over de la hoya,w
676,water usage drops despite warm dry weather,w
677,weather terrain make search for kenya airways,w
678,weather agencies unite to improve forecasting,w
679,weather housing trends hurt csr bottom line,w
680,rain unlikely to boost water storages weather,w
681,abc weatherman in election challenge to hockey,w
682,abc weatherman quits for politics,w
683,abc weatherman to take on hockey,w
684,former weatherman to challenge hockey in federal,w
685,labor defends abc weathermans move to politics,w
686,the abc weatherman mike bailey announces his,w
687,south africas clark leads in weather hit texas,w
688,crews mop up after weather havoc,w
689,wild vic weather keeps ses crews busy,w
690,clean up begins after wild weather,w
691,wild weather delays refloat attempt,w
692,weather bureau predicts heavy rain for qld,w
693,less dry weather forecast for season ahead,w
694,wine region helped by weather station improvements,w
695,bad weather more ships issue distress calls,w
696,nsw battered by severe weather,w
697,sydney residents brace for bad weather,w
698,weather to worsen in sydney bureau,w
699,wild weather keeps ses busy,w
700,abc weather,w
701,flights not affected by wild weather,w
702,weather dangerous but no state of emergency iemma,w
703,lockyer not fazed by weather affected preparations,w
704,weather prevents coal deliveries to port of,w
705,bureau predicts more wild weather for hunter region,w
706,nsw weather conditions ease,w
707,act to be spared worst of wild weather,w
708,regions brace for severe weather,w
709,south east nsw braces for wild weather,w
710,weather shuts down police computer system statewide,w
711,bureau downgrades weather warnings,w
712,nsw extreme weather eases,w
713,weather to determine sports fields opening,w
714,wet weather puts back herbert area cane harvest,w
715,cold weather prompts call for water meter covers,w
716,plumbers busy during cold weather,w
717,wet weather forces up vegetable prices,w
718,ses warns of debris amid severe weather warnings,w
719,severe weather lashes south east nsw,w
720,bom plugs website weather over local radio,w
721,cold weather likely to ease by weekend,w
722,wild weather continues on nsw south coast,w
723,poor weather stops tamworth jockey club races,w
724,weather promising for second pasha bulker refloat,w
725,weather extends png voting,w
726,weather watchers reflect on climate ups and downs,w
727,wild sa weather storm damage flood warnings,w
728,northern tablelands warned of more bad weather,w
729,wild weather keeps ses busy,w
730,auspine probes weather related mishap,w
731,cold weather blamed for big fish kill,w
732,lifesavers wary of more wild weather,w
733,murraylands weathers drought jobs loss,w
734,wheat farmers welcome cooler weather,w
735,cold weather expected to continue,w
736,cold wet weather brings livestock losses,w
737,cold weather takes toll on water pipes,w
738,weather hinders highlands search,w
739,better weather aids search for missing dane,w
740,cold weather continues grip on central qld,w
741,jockey club rides out weather extremes,w
742,wild weather ravages europe,w
743,cold weather grips gippsland,w
744,cold weather affecting north qld wildlife,w
745,weather delays recovery of tourists body,w
746,farm group weathers job cuts,w
747,wild weather wreaks havoc across tasmania,w
748,dry weather worsening rural depression support,w
749,wild weather moves from gold coast to brisbane,w
750,chaotic weather still battering south east qld,w
751,qld battens down for wild weather,w
752,weather batters sugarcane industry,w
753,better weather needed to salvage indonesian ship,w
754,qlds wild weather caused by freak event,w
755,wet weather delays ergon patrols,w
756,warm weather could spell early end to snow season,w
757,bad weather hampers search for missing tourists,w
758,expect more dry weather in aus analysts,w
759,windy weather prompts ses tree danger warning,w
760,severe weather hampers search for bushwalker,w
761,weather plays havoc with rock concert,w
762,hot dry weather likely to worsen study,w
763,severe weather warning for south east qld,w
764,weather hampering fire efforts,w
765,fears dry weather to hurt grampians national park,w
766,extreme weather sparks total fire ban,w
767,dry weather sees farmers de stock sheep,w
768,se qld prepares for more wild weather,w
769,weather delays more fuel reduction burns,w
770,bad weather caused thai air crash,w
771,police probe beerwah weatherboard fire,w
772,overcast weather plays havoc on solar car race,w
773,improving weather helps us firefighters,w
774,countrywide stock weathers 131b loss,w
775,unsettled weather conditions set to continue,w
776,user submitted wild weather in emerald central,w
777,dry weather sparks early introduction of fire,w
778,water use jumps in hotter weather,w
779,fire crews waiting for change in weather,w
780,vicroads warning on wet weather,w
